transaction_id,user_id,age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
TXN00050,U00050,31.0,Female,10.4,1.08,3.84,4.0,8.23,201.0,54,11.99,High,No,,1
TXN00051,U00051,31.0,Male,10.43,3.76,1.29,1.85,8.71,91.0,130,11.54,Medium,No,Severe,1
TXN00052,U00052,33.0,Male,10.66,1.5,0.85,4.89,,245.0,167,12.91,Medium,Yes,Moderate,1
TXN00053,U00053,25.0,Female,9.48,3.19,3.03,4.3,7.41,145.0,129,11.96,Low,No,Moderate,1
TXN00054,U00054,25.0,Female,5.76,3.7,1.89,3.42,6.41,210.0,155,7.09,High,No,Mild,0
TXN00055,U00055,26.0,Other,5.07,4.47,1.26,4.59,8.78,196.0,62,6.05,High,No,Severe,1
TXN00056,U00056,34.0,Male,8.37,5.89,3.33,2.13,6.12,97.0,18,10.64,Low,No,Moderate,1
TXN00057,U00057,35.0,Male,5.63,5.69,2.55,4.64,4.96,23.0,161,6.84,Medium,No,Severe,1
TXN00058,U00058,19.0,Male,5.27,5.24,0.46,0.86,6.71,167.0,176,7.49,Low,Yes,Severe,1
TXN00059,U00059,25.0,Female,4.07,4.7,2.43,4.85,5.52,153.0,112,5.7,Medium,No,Severe,1
TXN00060,U00060,19.0,Male,8.49,4.57,3.79,1.64,5.45,189.0,35,9.38,Low,Yes,Moderate,1
TXN00061,U00061,31.0,Female,7.05,3.77,1.17,1.77,7.68,199.0,131,7.73,Low,No,Mild,0
TXN00062,U00062,,Male,7.9,4.06,3.63,5.05,4.82,62.0,93,9.89,High,No,Severe,1
TXN00063,U00063,32.0,Male,9.2,4.35,3.77,3.25,6.72,40.0,168,9.8,Medium,No,Severe,1
TXN00064,U00064,20.0,Female,5.06,4.21,3.44,3.73,4.59,215.0,83,7.0,Low,No,Severe,1
TXN00065,U00065,23.0,Female,11.97,2.9,3.26,5.83,6.62,124.0,100,13.27,Low,Yes,Severe,1
TXN00066,U00066,,Female,5.59,5.7,3.25,3.53,6.55,100.0,79,6.9,Medium,Yes,Severe,1
TXN00067,U00067,19.0,Male,4.69,2.49,3.03,3.94,7.92,72.0,83,6.56,Medium,No,Mild,0
TXN00068,U00068,18.0,Other,11.76,3.85,0.96,1.37,6.98,161.0,119,12.49,Low,No,Moderate,1
TXN00069,U00069,22.0,Other,7.49,4.44,2.04,2.0,8.26,140.0,77,9.13,Low,No,Moderate,1
TXN00070,U00070,34.0,Other,9.72,1.25,0.28,4.75,8.34,107.0,144,10.89,Low,No,Severe,1
TXN00071,U00071,33.0,Male,10.79,2.96,1.94,2.33,7.93,116.0,131,13.62,Low,Yes,Severe,1
TXN00072,U00072,31.0,Male,3.39,4.6,2.82,4.96,6.24,189.0,53,5.13,Low,Yes,,1
TXN00073,U00073,32.0,Other,3.9,5.51,0.06,1.29,8.42,59.0,34,5.57,,No,Severe,1
TXN00074,U00074,20.0,Other,10.67,5.19,3.44,2.59,5.92,203.0,139,,Low,Yes,Moderate,1
TXN00075,U00075,27.0,Male,11.98,4.61,1.74,1.04,7.35,243.0,40,13.59,High,No,,1
TXN00076,U00076,28.0,Female,10.17,2.11,1.5,1.3,6.89,164.0,61,11.09,Low,No,Moderate,1
TXN00077,U00077,22.0,Female,5.09,4.01,1.84,4.17,8.55,139.0,88,7.28,Low,Yes,Severe,1
TXN00078,U00078,27.0,Other,8.75,2.83,1.0,5.15,5.4,118.0,138,9.52,Medium,No,Severe,1
TXN00079,U00079,27.0,Male,3.2,5.07,1.58,0.54,8.39,219.0,27,5.98,High,No,Severe,1
TXN00080,U00080,,Female,4.97,1.55,1.0,4.66,7.95,194.0,50,7.04,High,Yes,Mild,0
TXN00081,U00081,19.0,Male,8.22,4.53,0.36,2.12,7.86,64.0,66,9.05,High,No,Severe,1
TXN00082,U00082,26.0,,11.23,5.69,3.87,2.12,8.42,,44,12.9,Low,Yes,Moderate,1
TXN00083,U00083,30.0,,11.71,4.93,1.46,4.85,4.56,157.0,46,13.35,High,No,Severe,1
TXN00084,U00084,29.0,Other,3.98,1.79,0.1,5.36,7.03,176.0,71,6.1,High,No,Mild,0
TXN00085,U00085,31.0,Other,4.05,0.75,0.15,5.98,5.02,,152,4.89,Medium,No,Mild,0
TXN00086,U00086,22.0,Male,10.97,4.1,3.33,3.89,8.73,91.0,23,13.2,Low,No,Severe,1
TXN00087,U00087,29.0,Other,3.89,4.27,2.18,5.88,6.11,121.0,85,4.86,Low,No,Moderate,1
TXN00088,U00088,24.0,Male,8.78,3.78,0.09,4.83,5.6,52.0,159,9.79,High,Yes,Moderate,1
TXN00089,U00089,28.0,Male,9.97,4.84,2.38,2.03,8.93,,153,11.1,Low,Yes,Moderate,1
TXN00090,U00090,18.0,Female,6.22,4.84,2.36,0.59,5.69,,122,8.04,High,Yes,Severe,1
TXN00091,U00091,29.0,Female,7.62,1.1,2.02,5.7,4.7,220.0,148,8.87,High,Yes,Mild,0
TXN00092,U00092,30.0,Female,6.84,1.09,2.85,2.94,8.55,102.0,170,7.71,Low,No,Moderate,1
TXN00093,U00093,34.0,Male,5.65,3.28,1.72,4.86,5.01,187.0,156,7.95,Low,No,Mild,0
TXN00094,U00094,31.0,Male,6.05,2.99,1.66,1.02,6.42,190.0,80,7.49,Low,No,Mild,0
TXN00095,U00095,20.0,Female,3.84,1.03,2.96,4.96,7.0,170.0,158,5.74,High,Yes,Mild,0
TXN00096,U00096,,Male,10.81,4.47,3.87,3.8,6.08,167.0,144,11.84,High,No,Moderate,1
TXN00097,U00097,29.0,Male,10.61,2.52,3.05,3.66,8.13,236.0,158,13.55,High,Yes,Severe,1
TXN00098,U00098,23.0,Male,5.46,4.69,3.69,2.43,5.32,56.0,159,7.6,Low,Yes,Moderate,1
TXN00099,U00099,34.0,Other,4.94,,1.36,2.54,7.75,218.0,160,6.93,Low,Yes,,0
TXN00100,U00100,19.0,Male,9.07,2.0,2.65,3.17,6.49,89.0,70,11.46,Low,No,Severe,1
TXN00101,U00101,27.0,Female,9.1,3.76,2.11,2.2,5.49,173.0,29,9.62,Medium,Yes,Moderate,1
TXN00102,U00102,,Female,5.95,0.54,2.99,1.47,6.21,200.0,73,7.7,High,No,,0
TXN00103,U00103,19.0,Female,6.93,3.03,0.31,2.22,6.43,123.0,178,8.47,Low,No,Mild,0
TXN00104,U00104,23.0,Female,10.21,3.9,3.33,5.56,4.9,236.0,42,11.32,High,No,Moderate,1
TXN00105,U00105,27.0,Male,9.71,1.72,3.12,0.92,7.35,155.0,145,10.69,Medium,No,Moderate,1
TXN00106,U00106,21.0,Other,4.32,1.58,2.41,4.68,7.45,65.0,175,6.06,High,No,Mild,0
TXN00107,U00107,28.0,Male,4.36,0.88,1.77,2.17,5.74,34.0,105,6.13,Medium,No,Mild,0
TXN00108,U00108,19.0,Other,6.32,2.08,2.58,5.88,4.91,172.0,144,7.78,High,Yes,Moderate,1
TXN00109,U00109,24.0,Male,5.89,3.12,0.6,0.84,4.97,250.0,102,8.85,Low,Yes,,0
TXN00110,U00110,32.0,Male,11.92,3.38,2.44,2.5,8.63,119.0,119,14.36,High,Yes,Severe,1
TXN00111,U00111,28.0,Female,3.85,4.23,1.14,4.48,7.45,174.0,53,5.18,,Yes,,1
TXN00112,U00112,30.0,,4.16,4.4,0.34,3.57,7.4,104.0,47,6.34,,Yes,Severe,1
TXN00113,U00113,29.0,Male,3.16,2.2,3.8,2.38,7.95,69.0,72,6.16,Low,Yes,Mild,0
TXN00114,U00114,34.0,Male,9.94,5.09,3.53,0.71,6.02,216.0,173,10.77,Medium,Yes,Moderate,1
TXN00115,U00115,23.0,Female,9.49,0.74,1.46,4.46,8.86,176.0,87,11.87,Medium,Yes,Moderate,1
TXN00116,U00116,33.0,Male,11.14,1.57,2.71,3.64,6.48,216.0,87,13.59,High,No,Moderate,1
TXN00117,U00117,22.0,Female,10.86,0.79,1.92,2.54,8.7,202.0,147,13.49,Medium,Yes,Moderate,1
TXN00118,U00118,32.0,,11.15,1.31,1.75,5.71,5.5,135.0,104,13.98,Medium,Yes,Severe,1
TXN00119,U00119,29.0,Female,5.12,5.97,1.5,0.66,8.69,234.0,100,7.6,,Yes,Severe,1
TXN00120,U00120,22.0,Female,9.83,3.08,2.46,5.48,4.59,75.0,53,11.7,High,No,Moderate,1
TXN00121,U00121,25.0,Female,5.71,0.76,1.68,4.87,,48.0,142,7.7,Low,Yes,,0
TXN00122,U00122,31.0,Female,3.01,2.44,2.28,1.53,7.51,154.0,107,3.68,High,Yes,Mild,0
TXN00123,U00123,19.0,Male,8.72,5.9,1.01,0.59,8.05,108.0,76,11.05,High,Yes,,1
TXN00124,U00124,19.0,Male,6.17,2.36,2.57,5.07,7.58,198.0,137,8.25,Low,Yes,Moderate,1
TXN00125,U00125,27.0,Female,4.81,4.85,3.54,2.24,5.9,121.0,154,6.49,Low,Yes,Severe,1
TXN00126,U00126,19.0,Female,10.79,2.33,0.5,2.52,8.5,210.0,127,13.53,Medium,No,,1
TXN00127,U00127,33.0,Male,6.31,4.89,1.07,0.95,6.41,130.0,169,9.3,Low,No,Severe,1
TXN00128,U00128,20.0,Female,5.95,2.13,1.78,4.45,5.25,133.0,104,7.57,High,No,Mild,0
TXN00129,U00129,19.0,Male,3.68,4.01,1.45,4.91,7.56,27.0,51,6.3,High,No,Moderate,1
TXN00130,U00130,20.0,Other,5.12,4.05,1.45,5.72,4.65,59.0,130,7.99,Medium,No,Moderate,1
TXN00131,U00131,22.0,Female,7.77,2.69,2.6,1.87,5.01,208.0,62,9.52,Medium,Yes,Moderate,1
TXN00132,U00132,32.0,Other,4.93,3.87,2.78,5.99,,54.0,33,6.56,High,No,,0
TXN00133,U00133,,Male,9.01,4.4,2.2,2.1,5.85,60.0,178,9.95,Medium,Yes,Moderate,1
TXN00134,U00134,22.0,Female,5.13,3.22,1.44,3.65,6.6,161.0,48,7.16,Low,Yes,Mild,0
TXN00135,U00135,33.0,Other,7.73,,3.29,0.91,8.88,184.0,33,9.35,High,No,Moderate,1
TXN00136,U00136,23.0,Female,9.91,1.21,2.01,5.28,8.24,152.0,54,11.17,Low,No,Moderate,1
TXN00137,U00137,34.0,Other,11.05,5.15,1.0,3.99,6.98,52.0,175,12.31,High,Yes,Moderate,1
TXN00138,U00138,22.0,Other,4.54,3.93,3.61,2.36,8.66,30.0,22,5.24,High,No,,0
TXN00139,U00139,31.0,Female,8.56,0.67,3.56,3.5,7.39,97.0,138,9.67,High,No,,1
TXN00140,U00140,20.0,Male,9.2,1.37,1.66,3.05,6.03,56.0,95,11.85,Medium,No,Severe,1
TXN00141,U00141,29.0,Male,7.63,1.08,0.97,1.17,6.52,56.0,39,8.26,Medium,No,Moderate,0
TXN00142,U00142,28.0,Female,11.4,4.47,0.76,1.38,8.98,139.0,142,14.1,Medium,Yes,Moderate,1
TXN00143,U00143,34.0,Male,7.12,1.82,2.33,0.77,5.77,172.0,135,8.33,Low,Yes,Moderate,1
TXN00144,U00144,26.0,Other,9.55,4.7,1.46,2.7,,69.0,107,11.43,Low,No,Severe,1
TXN00145,U00145,26.0,Other,10.43,3.93,2.44,1.21,,115.0,101,12.32,Medium,Yes,Moderate,1
TXN00146,U00146,34.0,Other,6.61,0.72,0.16,4.42,8.12,,131,7.48,High,Yes,Moderate,1
TXN00147,U00147,28.0,Male,4.46,5.95,2.96,2.15,6.01,232.0,145,6.29,High,No,Severe,1
TXN00148,U00148,29.0,Other,5.98,1.1,1.67,2.19,8.54,243.0,176,6.55,Medium,No,,0
TXN00149,U00149,19.0,Male,8.25,,2.52,3.91,8.29,57.0,77,,High,Yes,Moderate,1
TXN00150,U00150,32.0,Other,5.82,1.33,2.76,2.76,7.99,140.0,30,8.08,High,Yes,Mild,0
TXN00151,U00151,33.0,Male,7.73,2.23,0.69,5.52,6.04,110.0,179,10.24,Medium,No,Mild,0
TXN00152,U00152,26.0,Male,8.02,1.74,3.89,2.14,5.8,73.0,140,9.31,Medium,No,Severe,1
TXN00153,U00153,35.0,Female,6.42,5.89,3.27,5.75,8.12,94.0,25,7.64,High,Yes,Severe,1
TXN00154,U00154,26.0,Male,9.73,1.68,3.31,1.99,7.03,89.0,50,10.5,High,Yes,Moderate,1
TXN00155,U00155,34.0,Other,5.03,1.78,0.4,2.32,6.63,194.0,50,5.54,High,Yes,Mild,0
TXN00156,U00156,33.0,Female,7.3,1.6,3.86,2.27,7.41,,37,9.43,Low,Yes,Mild,0
TXN00157,U00157,23.0,Female,11.41,0.7,3.34,4.83,5.34,211.0,89,14.1,Low,No,Moderate,1
TXN00158,U00158,27.0,Other,7.09,4.03,2.1,5.39,5.1,149.0,134,8.27,Low,No,Moderate,1
TXN00159,U00159,32.0,Other,8.83,4.45,0.06,2.35,5.83,,64,9.77,High,No,Severe,1
TXN00160,U00160,28.0,Female,3.78,4.18,0.74,1.27,5.96,83.0,16,4.93,Low,No,Severe,1
TXN00161,U00161,27.0,Other,8.24,3.65,1.05,2.48,5.56,,45,9.9,Low,No,Severe,1
TXN00162,U00162,21.0,Other,8.75,5.67,1.47,1.71,8.81,142.0,54,10.39,High,No,Severe,1
TXN00163,U00163,35.0,Male,11.22,4.67,3.21,5.04,7.93,194.0,167,13.9,Low,No,Severe,1
TXN00164,U00164,21.0,Male,3.56,3.51,2.02,3.65,5.17,103.0,148,5.16,High,Yes,Mild,0
TXN00165,U00165,34.0,Female,7.01,0.81,0.53,2.78,7.04,163.0,133,9.19,Medium,Yes,Moderate,1
TXN00166,U00166,18.0,Female,9.71,3.68,0.18,2.39,4.79,35.0,32,12.68,Medium,Yes,Severe,1
TXN00167,U00167,23.0,Other,9.92,4.71,3.91,4.05,6.39,248.0,112,11.54,Medium,No,Moderate,1
TXN00168,U00168,35.0,Other,4.2,5.23,0.47,5.96,6.27,,72,6.79,Low,No,Severe,1
TXN00169,U00169,35.0,Male,6.82,2.59,0.92,3.03,5.2,68.0,43,7.4,High,No,Severe,0
TXN00170,U00170,,Male,3.61,3.77,1.79,4.2,8.42,82.0,26,5.12,Low,Yes,,0
TXN00171,U00171,34.0,Female,11.94,1.79,3.67,3.67,7.1,217.0,97,13.03,Low,Yes,Severe,1
TXN00172,U00172,26.0,Other,3.55,5.72,3.52,5.51,36.41,129.0,157,5.29,Medium,No,Severe,1
TXN00173,U00173,31.0,Other,6.67,2.15,0.74,3.46,5.58,77.0,91,9.31,Low,No,Mild,0
TXN00174,U00174,31.0,Male,11.71,3.57,0.54,1.84,5.42,185.0,35,14.52,Medium,Yes,Moderate,1
TXN00175,U00175,26.0,Male,6.39,3.83,0.16,0.9,8.12,170.0,158,7.43,Low,No,Moderate,1
TXN00176,U00176,24.0,Female,11.43,5.79,0.47,6.0,6.66,82.0,169,13.69,Medium,Yes,Severe,1
TXN00177,U00177,30.0,Male,7.2,4.07,1.23,2.48,8.47,139.0,40,9.71,High,No,Severe,1
TXN00178,U00178,29.0,Male,5.82,0.75,3.46,4.58,4.57,161.0,164,7.77,Medium,No,,0
TXN00179,U00179,28.0,Male,5.07,3.63,0.98,3.53,8.75,106.0,80,7.48,Medium,No,Mild,0
TXN00180,U00180,29.0,Female,4.52,4.46,1.95,5.54,,184.0,30,6.33,Low,Yes,Moderate,1
TXN00181,U00181,22.0,Male,10.58,1.77,2.83,0.55,6.78,115.0,30,12.62,High,No,Severe,1
TXN00182,U00182,18.0,Male,7.79,2.76,0.07,4.47,6.91,93.0,19,9.55,High,No,Mild,0
TXN00183,U00183,21.0,Other,7.72,1.83,2.48,1.89,6.09,223.0,116,8.42,Medium,No,,0
TXN00184,U00184,25.0,Other,5.7,5.05,0.32,5.95,7.42,28.0,38,7.21,Medium,No,Moderate,1
TXN00185,U00185,18.0,Other,9.33,0.95,3.38,4.05,5.99,239.0,39,12.07,Low,Yes,Moderate,1
TXN00186,U00186,33.0,,5.44,5.58,2.74,2.04,6.94,188.0,23,6.39,Medium,Yes,Moderate,1
TXN00187,U00187,22.0,Other,9.77,4.42,1.59,0.92,5.23,81.0,160,12.36,Medium,No,Severe,1
TXN00188,U00188,22.0,Female,10.11,4.29,0.31,4.6,6.06,45.0,126,11.19,Low,No,Severe,1
TXN00189,U00189,18.0,Other,8.71,4.81,1.8,1.75,6.99,116.0,125,9.67,High,No,Moderate,1
TXN00190,U00190,27.0,Male,10.18,4.42,0.33,1.35,7.7,182.0,54,12.53,Medium,No,Moderate,1
TXN00191,U00191,18.0,Male,11.49,2.95,3.05,1.06,4.89,-459.0,129,13.38,High,No,Moderate,1
TXN00192,U00192,20.0,Other,6.19,1.01,2.39,2.28,6.23,94.0,120,7.66,Low,Yes,Mild,0
TXN00193,U00193,30.0,Male,4.53,1.98,1.07,1.3,5.25,90.0,122,5.78,Low,No,Mild,0
TXN00194,U00194,33.0,Female,8.34,1.58,0.43,2.18,8.77,105.0,173,9.79,Medium,No,Severe,1
TXN00195,U00195,22.0,Female,5.7,3.82,2.78,3.13,5.3,121.0,96,6.93,High,No,,0
TXN00196,U00196,30.0,Other,5.52,4.82,1.46,5.63,5.4,159.0,61,7.72,High,Yes,Severe,1
TXN00197,U00197,24.0,Other,6.95,2.1,2.77,5.0,8.08,124.0,142,7.8,Medium,Yes,Moderate,1
TXN00198,U00198,22.0,Female,9.44,4.84,0.3,5.95,6.66,122.0,151,11.21,High,No,Moderate,1
TXN00199,U00199,35.0,Female,8.34,5.53,0.44,1.87,7.49,62.0,180,10.37,High,No,Severe,1
TXN00200,U00200,21.0,Female,3.09,1.92,2.04,3.35,7.11,167.0,71,4.7,Medium,No,,0
TXN00201,U00201,18.0,Other,7.34,2.12,3.68,0.97,8.24,206.0,51,8.71,Medium,No,Mild,0
TXN00202,U00202,33.0,Other,6.13,1.04,2.89,2.99,4.8,31.0,44,6.69,Medium,Yes,Mild,0
TXN00203,U00203,25.0,Male,7.64,3.54,1.32,2.85,6.58,224.0,118,9.71,Low,No,Moderate,1
TXN00204,U00204,24.0,Female,7.05,2.86,0.02,1.68,5.75,200.0,31,8.99,,Yes,Moderate,1
TXN00205,U00205,24.0,Female,7.12,1.94,3.45,3.4,7.38,172.0,114,9.15,High,Yes,Moderate,1
TXN00206,U00206,32.0,O,8.56,4.98,2.82,2.14,7.27,41.0,49,9.84,Low,No,Moderate,1
TXN00207,U00207,29.0,Female,9.24,3.31,1.67,1.26,6.23,67.0,139,11.33,High,Yes,Moderate,1
TXN00208,U00208,27.0,Other,4.26,2.23,1.8,0.79,6.12,22.0,139,5.1,Medium,No,Mild,0
TXN00209,U00209,33.0,Male,6.74,5.12,1.95,0.95,4.64,214.0,71,7.97,Medium,Yes,Severe,1
TXN00210,U00210,32.0,Other,8.09,4.75,1.98,3.31,7.08,88.0,154,10.65,,Yes,Severe,1
TXN00211,U00211,24.0,Male,11.91,,3.32,4.63,5.84,28.0,130,13.07,Low,No,Moderate,1
TXN00212,U00212,24.0,Other,10.3,3.73,1.4,4.41,,62.0,172,11.15,Low,Y,Moderate,1
TXN00213,U00213,29.0,Female,7.79,3.78,0.67,5.88,5.82,166.0,83,10.67,High,Yes,Mild,0
TXN00214,U00214,19.0,Male,11.93,5.27,0.51,5.26,5.62,202.0,97,14.5,High,No,Severe,1
TXN00215,U00215,26.0,Female,8.65,2.56,0.3,4.87,7.96,123.0,146,11.02,High,No,Mild,1
TXN00216,U00216,28.0,Female,8.24,5.28,3.39,1.01,8.87,182.0,106,10.87,High,No,Moderate,1
TXN00217,U00217,24.0,Male,7.45,2.28,1.13,3.51,5.09,238.0,139,9.92,High,Yes,Mild,0
TXN00218,U00218,32.0,Female,3.15,5.61,0.63,3.01,8.96,129.0,66,6.14,Low,No,Moderate,1
TXN00219,U00219,20.0,Other,8.89,1.88,1.49,5.47,5.24,121.0,175,10.15,High,Yes,Severe,1
TXN00220,U00220,20.0,Female,9.33,0.51,1.91,1.23,5.52,194.0,128,9.85,High,No,Moderate,1
TXN00221,U00221,22.0,Other,7.3,1.76,0.36,4.93,4.96,114.0,91,8.14,Low,Yes,Mild,0
TXN00222,U00222,18.0,Male,8.49,1.4,1.4,1.67,7.87,125.0,172,10.71,Low,Yes,Moderate,1
TXN00223,U00223,21.0,Other,8.31,2.61,3.85,2.23,5.13,90.0,180,9.02,,No,Moderate,1
TXN00224,U00224,27.0,Other,4.85,3.84,0.75,2.65,7.41,220.0,76,6.59,Low,Yes,Mild,0
TXN00225,U00225,20.0,m,7.75,5.88,3.95,5.64,5.09,240.0,160,9.3,High,Yes,Severe,1
TXN00226,U00226,18.0,Other,8.29,0.58,0.86,5.57,8.77,121.0,144,9.51,High,No,Severe,1
TXN00227,U00227,30.0,Other,3.74,3.45,2.46,2.03,5.89,150.0,67,6.68,Low,No,Mild,0
TXN00228,U00228,20.0,Other,5.79,2.91,3.81,1.81,5.6,131.0,44,7.42,,Yes,,0
TXN00229,U00229,23.0,Female,4.07,4.39,2.81,1.4,8.79,153.0,147,6.53,High,No,Moderate,1
TXN00230,U00230,22.0,,9.75,5.3,2.93,1.15,8.55,105.0,124,10.93,Low,No,Moderate,1
TXN00231,U00231,32.0,Other,7.6,0.8,3.44,1.42,5.21,217.0,41,10.34,High,Yes,Mild,0
TXN00232,U00232,34.0,Female,3.02,5.22,0.05,0.75,6.14,58.0,60,5.85,Low,No,Moderate,1
TXN00233,U00233,25.0,Male,6.75,4.46,1.09,0.93,6.18,148.0,28,7.7,High,Yes,Severe,1
TXN00234,U00234,32.0,Female,10.79,4.75,1.24,0.98,6.56,114.0,66,12.02,Medium,Yes,Severe,1
TXN00235,U00235,33.0,,11.98,4.77,2.93,3.51,8.08,58.0,16,14.81,Low,Yes,Severe,1
TXN00236,U00236,18.0,Male,11.56,0.51,2.63,5.17,7.77,46.0,67,13.38,Low,No,Severe,1
TXN00237,U00237,22.0,Other,9.4,1.01,3.69,5.44,6.84,199.0,110,11.05,High,Yes,Moderate,1
